Connection reset by peer DEVICE:HTC Dream [7 Mar 2011 02:20:35 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 02:20:40 GMT]
Service discovery failed DEVICE:zxc [7 Mar 2011 02:20:45 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 02:20:51 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 02:23:08 GMT]
Service discovery failed DEVICE:HTC Dream [7 Mar 2011 02:23:13 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 02:33:21 GMT]
Service discovery failed DEVICE:HTC Dream [7 Mar 2011 02:33:26 GMT]
Connection reset by peer DEVICE:07 [7 Mar 2011 02:33:28 GMT]
11 cancled election initiation [7 Mar 2011 02:47:47 GMT]
Service discovery failed DEVICE:HTC Dream [7 Mar 2011 03:08:40 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 03:08:46 GMT]
07 cancled election initiation [7 Mar 2011 03:08:46 GMT]
Device or resource busy DEVICE:13 [7 Mar 2011 03:24:47 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 03:24:55 GMT]
Connection timed out DEVICE:07 [7 Mar 2011 03:55:20 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 04:10:39 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 04:10:45 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 04:20:44 GMT]
11 cancled election initiation [7 Mar 2011 04:20:44 GMT]
HTC Dream cancled election initiation [7 Mar 2011 04:30:37 GMT]
11 cancled election initiation [7 Mar 2011 04:30:37 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 04:59:11 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 04:59:17 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 04:59:22 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 06:10:00 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 06:23:46 GMT]
Service discovery failed DEVICE:HTC Dream [7 Mar 2011 06:37:46 GMT]
07 cancled election initiation [7 Mar 2011 06:37:54 GMT]
Device or resource busy DEVICE:13 [7 Mar 2011 06:55:24 GMT]
Device or resource busy DEVICE:11 [7 Mar 2011 06:55:24 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 08:08:21 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 08:08:31 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 08:08:36 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 08:46:19 GMT]
ty cancled election initiation [7 Mar 2011 10:13:22 GMT]
07 cancled election initiation [7 Mar 2011 11:01:21 GMT]
Device or resource busy DEVICE:HTC Dream [7 Mar 2011 11:06:21 GMT]
Device or resource busy DEVICE:13 [7 Mar 2011 11:06:22 GMT]
Device or resource busy DEVICE:11 [7 Mar 2011 11:06:22 GMT]
Device or resource busy DEVICE:ty [7 Mar 2011 11:06:25 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 11:08:26 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 11:41:04 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 11:58:49 GMT]
Device or resource busy DEVICE:HTC Dream [7 Mar 2011 12:01:40 GMT]
Device or resource busy DEVICE:11 [7 Mar 2011 12:01:41 GMT]
Device or resource busy DEVICE:ty [7 Mar 2011 12:01:42 GMT]
13 cancled election initiation [7 Mar 2011 12:01:46 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 12:33:50 GMT]
HTC Dream cancled election initiation [7 Mar 2011 12:33:57 GMT]
ty cancled election initiation [7 Mar 2011 12:33:57 GMT]
11 cancled election initiation [7 Mar 2011 12:33:57 GMT]
ty cancled election initiation [7 Mar 2011 12:46:15 GMT]
11 cancled election initiation [7 Mar 2011 12:46:15 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 12:55:36 GMT]
HTC Dream cancled election initiation [7 Mar 2011 12:55:41 GMT]
07 cancled election initiation [7 Mar 2011 12:55:41 GMT]
ty cancled election initiation [7 Mar 2011 12:55:41 GMT]
zxc cancled election initiation [7 Mar 2011 12:55:41 GMT]
HTC Dream cancled election initiation [7 Mar 2011 13:00:03 GMT]
Service discovery failed DEVICE:ty [7 Mar 2011 13:30:21 GMT]
Connection timed out DEVICE:07 [7 Mar 2011 14:52:11 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 14:52:28 GMT]
zxc cancled election initiation [7 Mar 2011 14:52:28 GMT]
Device or resource busy DEVICE:HTC Dream [7 Mar 2011 14:53:23 GMT]
HTC Dream cancled election initiation [7 Mar 2011 15:13:59 GMT]
11 cancled election initiation [7 Mar 2011 16:08:41 GMT]
ty cancled election initiation [7 Mar 2011 16:08:41 GMT]
07 cancled election initiation [7 Mar 2011 16:08:41 GMT]
Device or resource busy DEVICE:zxc [7 Mar 2011 16:29:57 GMT]
Device or resource busy DEVICE:HTC Dream [7 Mar 2011 16:30:01 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 17:02:30 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 17:02:36 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 06:37:54 GMT]
08 cancled election initiation [8 Mar 2011 06:38:00 GMT]
ty cancled election initiation [8 Mar 2011 06:38:00 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 06:50:20 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 06:50:26 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 07:26:55 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 07:40:03 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 08:03:03 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 08:03:12 GMT]
Connection reset by peer DEVICE:ty [8 Mar 2011 08:23:14 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 08:23:23 GMT]
13 cancled election initiation [8 Mar 2011 08:23:23 GMT]
08 cancled election initiation [8 Mar 2011 08:43:15 GMT]
