07:01:41, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:03:19, 00:23:D4:6A:87:DE, GARBAGE, true
07:06:15, 00:23:D4:6A:87:DE, 192.168.1.6, true
07:08:23, 00:23:D4:6A:87:DE, 192.168.1.5, true
07:08:23, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:14:39, 00:23:D4:6A:87:DE, GARBAGE, true
07:19:02, 00:23:D4:6A:87:DE, GARBAGE, true
07:19:03, 00:23:D4:6A:87:DE, GARBAGE, true
07:22:06, 00:23:D4:6A:87:DE, 192.168.1.8, true
07:22:06, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:23:27, 00:23:D4:6A:87:DE, GARBAGE, true
07:29:32, 00:23:D4:6A:87:DE, 192.168.1.7, true
07:29:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:29:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:29:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:32:53, 00:23:D4:6A:87:DE, GARBAGE, true
07:37:29, 00:23:D4:6A:87:DE, GARBAGE, true
07:44:09, 00:23:D4:6A:87:DE, GARBAGE, true
07:46:37, 00:23:D4:6A:87:DE, GARBAGE, true
07:47:08, 00:23:D4:6A:87:DE, 192.168.1.10, true
07:47:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:47:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:57:54, 00:23:D4:6A:87:DE, GARBAGE, true
08:02:19, 00:23:D4:6A:87:DE, GARBAGE, true
08:11:43, 00:23:D4:6A:87:DE, GARBAGE, true
