04:09:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, true, update
04:09:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:15:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:16:26, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:16:26, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, false, fresh
04:17:25, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:17:25, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, false, fresh
04:24:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:24:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:25:17, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:25:17, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, false, fresh
04:28:06, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:28:06, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, false, fresh
04:28:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, true, update
04:28:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:87:DE, wifi_network, false, fresh
