16:44:26, 00:23:D4:6A:22:09, GARBAGE IP, true
16:47:10, 00:23:D4:6A:22:09, GARBAGE, true
16:51:43, 00:23:D4:6A:22:09, GARBAGE, true
16:55:02, 00:23:D4:6A:22:09, GARBAGE, true
17:00:42, 00:23:D4:6A:22:09, GARBAGE, true
17:03:46, 00:23:D4:6A:22:09, GARBAGE, true
17:11:17, 00:23:D4:6A:22:09, GARBAGE, true
17:14:38, 00:23:D4:6A:22:09, GARBAGE, true
17:17:07, 00:23:D4:6A:22:09, GARBAGE, true
17:24:17, 00:23:D4:6A:22:09, GARBAGE, true
17:30:09, 00:23:D4:6A:22:09, GARBAGE, true
17:33:09, 00:23:D4:6A:22:09, GARBAGE, true
17:37:37, 00:23:D4:6A:22:09, GARBAGE, true
17:43:12, 00:23:D4:6A:22:09, GARBAGE, true
17:43:15, 00:23:D4:6A:22:09, GARBAGE, true
17:45:35, 00:23:D4:6A:22:09, GARBAGE, true
17:47:00, 00:23:D4:6A:22:09, GARBAGE, true
17:47:41, 00:23:D4:6A:22:09, 192.168.1.12, true
17:47:41, 00:23:D4:6A:22:09, GARBAGE IP, true
17:47:41, 00:23:D4:6A:22:09, GARBAGE IP, true
17:47:41, 00:23:D4:6A:22:09, GARBAGE IP, true
17:47:41, 00:23:D4:6A:22:09, GARBAGE IP, true
17:48:23, 00:23:D4:6A:22:09, 192.168.1.12, true
17:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
17:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
17:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
17:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
17:49:47, 00:23:D4:6A:22:09, 192.168.1.12, true
17:49:47, 00:23:D4:6A:22:09, GARBAGE IP, true
17:49:47, 00:23:D4:6A:22:09, GARBAGE IP, true
17:49:47, 00:23:D4:6A:22:09, GARBAGE IP, true
17:49:47, 00:23:D4:6A:22:09, GARBAGE IP, true
17:51:30, 00:23:D4:6A:22:09, GARBAGE, true
17:51:46, 00:23:D4:6A:22:09, GARBAGE, true
17:56:15, 00:23:D4:6A:22:09, GARBAGE, true
17:59:37, 00:23:D4:6A:22:09, GARBAGE, true
18:05:14, 00:23:D4:6A:22:09, GARBAGE, true
18:11:42, 00:23:D4:6A:22:09, GARBAGE, true
18:16:01, 00:23:D4:6A:22:09, GARBAGE, true
18:22:02, 00:23:D4:6A:22:09, GARBAGE, true
18:25:15, 00:23:D4:6A:22:09, GARBAGE, true
18:28:11, 00:23:D4:6A:22:09, GARBAGE, true
18:28:20, 00:23:D4:6A:22:09, GARBAGE, true
18:32:34, 00:23:D4:6A:22:09, GARBAGE, true
18:39:04, 00:23:D4:6A:22:09, GARBAGE, true
18:41:38, 00:23:D4:6A:22:09, GARBAGE, true
18:44:51, 00:23:D4:6A:22:09, GARBAGE, true
18:52:09, 00:23:D4:6A:22:09, GARBAGE, true
18:55:33, 00:23:D4:6A:22:09, GARBAGE, true
19:00:08, 00:23:D4:6A:22:09, GARBAGE, true
19:03:33, 00:23:D4:6A:22:09, GARBAGE, true
19:09:30, 00:23:D4:6A:22:09, GARBAGE, true
19:13:55, 00:23:D4:6A:22:09, GARBAGE, true
19:17:12, 00:23:D4:6A:22:09, GARBAGE, true
19:23:27, 00:23:D4:6A:22:09, GARBAGE, true
19:28:02, 00:23:D4:6A:22:09, GARBAGE, true
19:31:27, 00:23:D4:6A:22:09, GARBAGE, true
19:37:42, 00:23:D4:6A:22:09, GARBAGE, true
19:42:07, 00:23:D4:6A:22:09, GARBAGE, true
19:45:24, 00:23:D4:6A:22:09, GARBAGE, true
19:55:57, 00:23:D4:6A:22:09, GARBAGE, true
20:09:38, 00:23:D4:6A:22:09, GARBAGE, true
20:12:36, 00:23:D4:6A:22:09, GARBAGE, true
20:17:07, 00:23:D4:6A:22:09, GARBAGE, true
20:23:31, 00:23:D4:6A:22:09, 192.168.1.7, true
20:23:31, 00:23:D4:6A:22:09, GARBAGE IP, true
20:23:31, 00:23:D4:6A:22:09, GARBAGE IP, true
20:23:31, 00:23:D4:6A:22:09, GARBAGE IP, true
20:25:04, 00:23:D4:6A:22:09, GARBAGE, true
20:28:26, 00:23:D4:6A:22:09, GARBAGE, true
20:31:32, 00:23:D4:6A:22:09, GARBAGE, true
20:37:47, 00:23:D4:6A:22:09, GARBAGE, true
20:42:07, 00:23:D4:6A:22:09, GARBAGE, true
20:48:37, 00:23:D4:6A:22:09, GARBAGE, true
20:51:45, 00:23:D4:6A:22:09, GARBAGE, true
20:56:05, 00:23:D4:6A:22:09, GARBAGE, true
20:59:24, 00:23:D4:6A:22:09, GARBAGE, true
21:06:51, 00:23:D4:6A:22:09, GARBAGE, true
21:10:12, 00:23:D4:6A:22:09, GARBAGE, true
21:16:20, 00:23:D4:6A:22:09, GARBAGE, true
21:20:46, 00:23:D4:6A:22:09, GARBAGE, true
21:24:00, 00:23:D4:6A:22:09, GARBAGE, true
21:31:33, 00:23:D4:6A:22:09, GARBAGE, true
21:34:56, 00:23:D4:6A:22:09, GARBAGE, true
21:42:17, 00:23:D4:6A:22:09, GARBAGE, true
21:45:32, 00:23:D4:6A:22:09, GARBAGE, true
21:48:43, 00:23:D4:6A:22:09, GARBAGE, true
21:56:15, 00:23:D4:6A:22:09, GARBAGE, true
21:59:34, 00:23:D4:6A:22:09, GARBAGE, true
22:05:45, 00:23:D4:6A:22:09, GARBAGE, true
