22:31:03, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:33:09, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:33:51, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:34:33, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:35:15, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:42:59, 00:23:D4:6A:87:DE, 192.168.1.14, true
22:42:59, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:43:38, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:52:43, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:57:37, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:57:40, 00:23:D4:6A:87:DE, 192.168.1.13, true
22:57:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:59:01, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:01:49, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:01:49, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:02:31, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:03:55, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:08:48, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:10:54, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:12:59, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:17:54, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:17:54, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:20:42, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:20:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:21:24, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:21:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:22:06, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:22:06, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:23:28, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:25:35, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:25:35, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:26:58, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:26:59, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:26:59, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:27:41, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:27:41, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:29:05, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:29:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:33:16, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:36:45, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:36:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
