13:21:36, 00:23:D4:6A:BF:DE, 192.168.1.8, true
13:21:36, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:21:36, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:21:37, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:21:37, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:22:18, 00:23:D4:6A:BF:DE, 192.168.1.8, true
13:22:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:22:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:22:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:22:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
13:26:38, 00:23:D4:6A:BF:DE, GARBAGE, true
13:31:14, 00:23:D4:6A:BF:DE, GARBAGE, true
13:32:08, 00:23:D4:6A:BF:DE, GARBAGE, true
13:44:54, 00:23:D4:6A:BF:DE, GARBAGE, true
13:49:47, 00:23:D4:6A:BF:DE, GARBAGE, true
13:51:27, 00:23:D4:6A:BF:DE, GARBAGE, true
13:56:58, 00:23:D4:6A:BF:DE, GARBAGE, true
14:00:35, 00:23:D4:6A:BF:DE, 192.168.1.7, true
14:00:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:00:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:00:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:00:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:01:42, 00:23:D4:6A:BF:DE, GARBAGE, true
14:05:26, 00:23:D4:6A:BF:DE, GARBAGE, true
14:05:35, 00:23:D4:6A:BF:DE, GARBAGE, true
14:08:05, 00:23:D4:6A:BF:DE, GARBAGE, true
14:10:18, 00:23:D4:6A:BF:DE, 192.168.1.2, true
14:10:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:10:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:19:22, 00:23:D4:6A:BF:DE, GARBAGE, true
14:24:03, 00:23:D4:6A:BF:DE, 192.168.1.4, true
14:24:03, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:24:03, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:24:45, 00:23:D4:6A:BF:DE, 192.168.1.4, true
14:24:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:24:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:25:22, 00:23:D4:6A:BF:DE, 192.168.1.2, true
14:25:22, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:25:22, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:27:02, 00:23:D4:6A:BF:DE, GARBAGE, true
14:27:28, 00:23:D4:6A:BF:DE, 192.168.1.2, true
14:27:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:27:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:29:50, 00:23:D4:6A:BF:DE, GARBAGE, true
14:34:30, 00:23:D4:6A:BF:DE, 192.168.1.9, true
14:34:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:34:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:37:24, 00:23:D4:6A:BF:DE, GARBAGE, true
14:37:28, 00:23:D4:6A:BF:DE, GARBAGE, true
14:40:07, 00:23:D4:6A:BF:DE, GARBAGE, true
